id,longName,shortName
salttablets,Bottle of 1000 salt tablets,Salt Tablets
knife,Folding knife,Knife
water3l,1 litre of water per person,1L Water
aviationmap,Air map of the area,Map
firstaidkit,First-aid kit,First-aid kit
pistol,.45 calibre pistol (loaded),Pistol
overcoat,Overcoat (for everyone),Overcoat
parachute,Parachute (red and white),Parachute
plasticraincoat,Plastic raincoat (large),Raincoat
mirror,A cosmetic mirror,Mirror
compass,Magnetic compass,Compass
book,Book: 'Desert Animals That Can Be Eaten',Book
