id,longName,shortName
sextant,A sextant,Sextant
radio,A small transistor radio,Radio
mirror,A shaving mirror,Mirror
plasticsheeting,20 square feet of Opaque plastic sheeting,Sheeting
water20l,A 20 litre container of water ,Water
strongrum,One bottle of 160 per cent proof rum,Rum
rations,A case of army rations,Rations
rope,15ft nylon rope,Rope
seamap,A map of the Pacific Ocean,Map
chocolate,2 boxes of chocolate bars,Chocolate
fishingkit,A fishing kit,Fishing Kit
oilcanister,A 7 litre can of oil/petrol mixture,Oil Petrol Mix
