id,longName,shortName
shirt_trousers,Extra shirt and pants for each survivor,Shirt & Pants
axe,A little axe,Axe
tarp,A strong sheet (6 m x 6 m),Strong Sheet
binoculars,Binoculars,Binoculars
pistol,Loaded .45-calibre pistol,Pistol
map,Sectional air map made of plastic,Map
whiskey,Quart of 85-proof whiskey,Whiskey
pot,A camping kettle with mounting,Kettle
newspaper,Newspaper (one per person),Newspaper
compass,Compass,Compass
lighter,Cigarette lighter without the fluid,Lighter
thermos,A thermos bottle,Thermos
